id,title,author,included_excluded,resource_type,resource_format,original_url,clean_url,final_url,kind,raw_path,text_path,status,text_len,error
35,UKRI Good Practice Principles in Recruitment and Training at A Doctoral Level,UKRI,Included,PDF,Document,https://www.ukri.org/publications/ukri-good-practice-principles-in-recruitment-and-training-at-a-doctoral-level/,https://www.ukri.org/publications/ukri-good-practice-principles-in-recruitment-and-training-at-a-doctoral-level/,https://www.ukri.org/publications/ukri-good-practice-principles-in-recruitment-and-training-at-a-doctoral-level/,html,data/raw/downloads/35_UKRI_Good_Practice_Principles_in_Recruitment_and_Training_at_A_Doctoral_Level.html,data/processed/text/35_UKRI_Good_Practice_Principles_in_Recruitment_and_Training_at_A_Doctoral_Level.txt,OK,1920,
36,"Equality, Diversity and Inclusion Champions",University of York,Included,Webpage,Webpage,https://www.york.ac.uk/about/departments/support-and-admin/edo/champions/,https://www.york.ac.uk/about/departments/support-and-admin/edo/champions/,https://www.york.ac.uk/about/departments/support-and-admin/edo/champions/,html,data/raw/downloads/36_Equality_Diversity_and_Inclusion_Champions.html,data/processed/text/36_Equality_Diversity_and_Inclusion_Champions.txt,OK_BUT_SHORT,390,Extracted text length=390 (<800)
38,Making Meetings and Events Accessible,University of Manchester,Included,PDF,Document,https://documents.manchester.ac.uk/display.aspx?DocID=11993,https://documents.manchester.ac.uk/display.aspx?DocID=11993,https://documents.manchester.ac.uk/display.aspx?DocID=11993,pdf,data/raw/downloads/38_Making_Meetings_and_Events_Accessible.pdf,data/processed/text/38_Making_Meetings_and_Events_Accessible.txt,OK,15561,
39,Towards Diverse Workforces: Transforming The Language of Exclusion and Bias in Recruitment,University of Nottingham,Included,Report,Document,https://www.stemm-change.co.uk/wp-content/uploads/2021/06/Transforming-the-Language-of-Exclusion-and-Bias-in-Recruitment-June-2021x.pdf,https://www.stemm-change.co.uk/wp-content/uploads/2021/06/Transforming-the-Language-of-Exclusion-and-Bias-in-Recruitment-June-2021x.pdf,https://www.stemm-change.co.uk/wp-content/uploads/2021/06/Transforming-the-Language-of-Exclusion-and-Bias-in-Recruitment-June-2021x.pdf,pdf,data/raw/downloads/39_Towards_Diverse_Workforces_Transforming_The_Language_of_Exclusion_and_Bias_in_Recruitment.pdf,data/processed/text/39_Towards_Diverse_Workforces_Transforming_The_Language_of_Exclusion_and_Bias_in_Recruitment.txt,OK,52344,
40,Best Practice Guide: Developing Inclusive Conferences,"Alice Chautard, and Dr Claire Hann",Included,PDF,Document,https://reachwater.org.uk/wp-content/uploads/2019/05/2019_05_22_Inclusive-Conference-Guide.pdf,https://reachwater.org.uk/wp-content/uploads/2019/05/2019_05_22_Inclusive-Conference-Guide.pdf,https://reachwater.org.uk/wp-content/uploads/2019/05/2019_05_22_Inclusive-Conference-Guide.pdf,pdf,data/raw/downloads/40_Best_Practice_Guide_Developing_Inclusive_Conferences.pdf,data/processed/text/40_Best_Practice_Guide_Developing_Inclusive_Conferences.txt,OK,51281,
41,HR EDI Online Inclusive Recruitment Guide,University of St Andrews,Included,Webpage,Webpage,https://www.st-andrews.ac.uk/hr/edi/inclusiverec/,https://www.st-andrews.ac.uk/hr/edi/inclusiverec/,https://login.st-andrews.ac.uk/idp/profile/SAML2/Redirect/SSO?execution=e1s1,html,data/raw/downloads/41_HR_EDI_Online_Inclusive_Recruitment_Guide.html,data/processed/text/41_HR_EDI_Online_Inclusive_Recruitment_Guide.txt,OK_BUT_SHORT,257,Extracted text length=257 (<800)
42,"Equality, Diversity and Inclusion Champions",University of Sussex,Included,Webpage,Webpage,https://www.sussex.ac.uk/equalities/networks/equalitydiversityandinclusionchampions,https://www.sussex.ac.uk/equalities/networks/equalitydiversityandinclusionchampions,https://www.sussex.ac.uk/equalities/networks/equalitydiversityandinclusionchampions,html,data/raw/downloads/42_Equality_Diversity_and_Inclusion_Champions.html,data/processed/text/42_Equality_Diversity_and_Inclusion_Champions.txt,OK,1633,
44,100 Black Women Professors Now Impact Report,"Diksha Sanyal, Temitayo Lawal, Cianne Jones, AdËle MacKinlay, Professor Lisa-Dionne Morris",Included,Report,Document,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/45828/downloads/a604721-38ee-61e6-072f-4a0cefa64c6_100BWPN_Impact_Report_2024.pdf,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/45828/downloads/a604721-38ee-61e6-072f-4a0cefa64c6_100BWPN_Impact_Report_2024.pdf,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/45828/downloads/a604721-38ee-61e6-072f-4a0cefa64c6_100BWPN_Impact_Report_2024.pdf,pdf,data/raw/downloads/44_100_Black_Women_Professors_Now_Impact_Report.pdf,data/processed/text/44_100_Black_Women_Professors_Now_Impact_Report.txt,OK,70557,
46,SCUPLT For Accessibility,†Helen Wilson,Included,Webpage,Webpage,https://www.worcestershire.gov.uk/sites/default/files/2024-12/FINAL%20sculpt%20infographic%20UpdatedV2.1%20%281%29.pdf,https://www.worcestershire.gov.uk/sites/default/files/2024-12/FINAL%20sculpt%20infographic%20UpdatedV2.1%20%281%29.pdf,https://www.worcestershire.gov.uk/sites/default/files/2024-12/FINAL%20sculpt%20infographic%20UpdatedV2.1%20%281%29.pdf,pdf,data/raw/downloads/46_SCUPLT_For_Accessibility.pdf,data/processed/text/46_SCUPLT_For_Accessibility.txt,OK_BUT_SHORT,654,Extracted text length=654 (<800)
47,National Association of Disabled Staff Networks,National Association of Disabled Staff Networks,Included,Webpage,Webpage,https://www.nadsn-uk.org/,https://www.nadsn-uk.org/,,,,,FAILED,0,406 Client Error: Not Acceptable for url: https://www.nadsn-uk.org/
48,Association For Black and Ethnic Minority Engineers,Association for Black and Ethnic Minority Engineers,Included,Webpage,Webpage,https://www.afbe.org.uk/,https://www.afbe.org.uk/,https://afbe.org.uk/,html,data/raw/downloads/48_Association_For_Black_and_Ethnic_Minority_Engineers.html,data/processed/text/48_Association_For_Black_and_Ethnic_Minority_Engineers.txt,OK,1803,
52,Tech Talent Charter Toolkit,Tech Talent Charter,Included,Toolkit,Webpage,https://www.techtalentcharter.co.uk/,https://www.techtalentcharter.co.uk/,https://www.techtalentcharter.co.uk/,html,data/raw/downloads/52_Tech_Talent_Charter_Toolkit.html,data/processed/text/52_Tech_Talent_Charter_Toolkit.txt,OK,3270,
53,Neuro-Inclusive Meetings and Events Toolkit,EPSRC,Included,Toolkit,Document,https://leeds365.sharepoint.com/:p:/r/sites/TEAM-EPSRCEDIHubPlus/Shared%20Documents/Workstream%202%20-%20Resource%20Centre/Supporting%20Material/EPSRC-Neuro-Inclusion-Meetings-and-Events-Toolkit%20-%20Copy.pptx?d=wb9680e47395240628139d66721f2e57b&csf=1&web=1&e=p5e7cB,https://leeds365.sharepoint.com/%3Ap%3A/r/sites/TEAM-EPSRCEDIHubPlus/Shared%20Documents/Workstream%202%20-%20Resource%20Centre/Supporting%20Material/EPSRC-Neuro-Inclusion-Meetings-and-Events-Toolkit%20-%20Copy.pptx?d=wb9680e47395240628139d66721f2e57b&csf=1&web=1&e=p5e7cB,https://login.microsoftonline.com:443/bdeaeda8-c81d-45ce-863e-5232a535b7cb/oauth2/authorize?client_id=00000003-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code%20id_token&resource=00000003-0000-0ff1-ce00-000000000000&scope=openid&nonce=43BDC9BB303C2A13A2138BF8BD9AACFAB9F7A45465774590-490CBFFF0B167D13E7E30820CFF214F254B70D57567138118DDFF1CEC1EDC9D1&redirect_uri=https%3A%2F%2Fleeds365.sharepoint.com%2F_forms%2Fdefault.aspx&state=OD0w&claims=%7B%22id_token%22%3A%7B%22xms_cc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083-87e0-41b5-bb78-0bc43c8a8e8a&client-request-id=fd6bf3a1-305e-f000-5bcb-ff02d45a865d,html,data/raw/downloads/53_Neuro-Inclusive_Meetings_and_Events_Toolkit.html,data/processed/text/53_Neuro-Inclusive_Meetings_and_Events_Toolkit.txt,OK,12854,
54,"Equality, Diversity and Inclusion Strategies in STEM - Briefing","All-Party Parliamentary Group on Diversity and Inclusion in Science, Technology, Engineering, and
Mathematics",Included,Report,Document,https://www.britishscienceassociation.org/Handlers/Download.ashx?IDMF=b0479031-7e8b-4a0e-b3c6-80b7c383a183,https://www.britishscienceassociation.org/Handlers/Download.ashx?IDMF=b0479031-7e8b-4a0e-b3c6-80b7c383a183,https://www.britishscienceassociation.org/Handlers/Download.ashx?IDMF=b0479031-7e8b-4a0e-b3c6-80b7c383a183,pdf,data/raw/downloads/54_Equality_Diversity_and_Inclusion_Strategies_in_STEM_-_Briefing.pdf,data/processed/text/54_Equality_Diversity_and_Inclusion_Strategies_in_STEM_-_Briefing.txt,OK,32561,
55,"Mission Critical Toolkit: Improving National Security Culture, Diversity & Inclusion",HM Government,Included,Toolkit,Document,01122021_Mission Critical Toolkit_DIGITAL.pdf,01122021_Mission%20Critical%20Toolkit_DIGITAL.pdf,,,,,FAILED,0,Invalid URL
56,Advanced Strategic Platform for Inclusive Research Environments (ASPIRE),University of Lincoln,Included,Webpage,Webpage,https://eleanorglanvilleinstitute.lincoln.ac.uk/research/inclusive-environments/aspire/,https://eleanorglanvilleinstitute.lincoln.ac.uk/research/inclusive-environments/aspire/,https://eleanorglanvilleinstitute.lincoln.ac.uk/research/inclusive-environments/aspire/,html,data/raw/downloads/56_Advanced_Strategic_Platform_for_Inclusive_Research_Environments_(ASPIRE).html,data/processed/text/56_Advanced_Strategic_Platform_for_Inclusive_Research_Environments_(ASPIRE).txt,OK,6874,
57,Evidence-Base; Growing the Big Grant Club (EBASE),University of Edinburgh,Included,Webpage,Webpage,https://ebaseevidencebase.wordpress.com/,https://ebaseevidencebase.wordpress.com/,https://ebaseevidencebase.wordpress.com/,html,data/raw/downloads/57_Evidence-Base_Growing_the_Big_Grant_Club_(EBASE).html,data/processed/text/57_Evidence-Base_Growing_the_Big_Grant_Club_(EBASE).txt,OK_BUT_SHORT,531,Extracted text length=531 (<800)
58,Inclusion Really Does Matter,Queens University Belfast,Included,Webpage,Webpage,https://www.qub.ac.uk/sites/InclusionReallyDoesMatter/,https://www.qub.ac.uk/sites/InclusionReallyDoesMatter/,https://www.qub.ac.uk/sites/InclusionReallyDoesMatter/,html,data/raw/downloads/58_Inclusion_Really_Does_Matter.html,data/processed/text/58_Inclusion_Really_Does_Matter.txt,OK,1123,
59,Creating An Inclusive Environment,AdvanceHE,Included,Webpage,Webpage,https://www.advance-he.ac.uk/guidance/equality-diversity-and-inclusion/creating-inclusive-environment,https://www.advance-he.ac.uk/guidance/equality-diversity-and-inclusion/creating-inclusive-environment,https://www.advance-he.ac.uk/guidance/equality-diversity-and-inclusion/creating-inclusive-environment,html,data/raw/downloads/59_Creating_An_Inclusive_Environment.html,data/processed/text/59_Creating_An_Inclusive_Environment.txt,OK,1527,
62,STEM Equals,University of Strathclyde,Included,Webpage,Webpage,https://www.stemequals.ac.uk/,https://www.stemequals.ac.uk/,https://www.stemequals.ac.uk/,html,data/raw/downloads/62_STEM_Equals.html,data/processed/text/62_STEM_Equals.txt,OK_BUT_SHORT,612,Extracted text length=612 (<800)
63,STEMM-Change,University of Nottingham,Included,Webpage,Webpage,https://www.stemm-change.co.uk/project-overview/,https://www.stemm-change.co.uk/project-overview/,https://www.stemm-change.co.uk/project-overview/,html,data/raw/downloads/63_STEMM-Change.html,data/processed/text/63_STEMM-Change.txt,OK,1588,
64,Letís Be Clear About EDI: Conversation Guides/Aids from University of Nottingham,University of Nottingham,Included,Webpage,Webpage,https://www.nottingham.ac.uk/edi/edi-conversation-guides.aspx,https://www.nottingham.ac.uk/edi/edi-conversation-guides.aspx,https://www.nottingham.ac.uk/edi/edi-conversation-guides.aspx,html,data/raw/downloads/64_Letís_Be_Clear_About_EDI_Conversation_GuidesAids_from_University_of_Nottingham.html,data/processed/text/64_Letís_Be_Clear_About_EDI_Conversation_GuidesAids_from_University_of_Nottingham.txt,OK,1400,
65,Social Inclusion Projects,Social Inlcusion Group,Included,Webpage,Webpage,https://warwick.ac.uk/services/socialinclusion/projects/,https://warwick.ac.uk/services/socialinclusion/projects/,https://warwick.ac.uk/services/socialinclusion/projects/,html,data/raw/downloads/65_Social_Inclusion_Projects.html,data/processed/text/65_Social_Inclusion_Projects.txt,OK,2421,
67,Code Of Conduct,Kings College London,Included,Webpage,Webpage,https://www.kcl.ac.uk/policyhub,https://www.kcl.ac.uk/policyhub,https://www.kcl.ac.uk/policyhub,html,data/raw/downloads/67_Code_Of_Conduct.html,data/processed/text/67_Code_Of_Conduct.txt,OK,2512,
70,Report And support,The University of Manchester,Included,Webpage,Webpage,https://www.reportandsupport.manchester.ac.uk/,https://www.reportandsupport.manchester.ac.uk/,https://www.reportandsupport.manchester.ac.uk/,html,data/raw/downloads/70_Report_And_support.html,data/processed/text/70_Report_And_support.txt,OK,928,
71,Report + Support,University of Nottingham,Included,Webpage,Webpage,https://reportandsupport.nottingham.ac.uk/,https://reportandsupport.nottingham.ac.uk/,https://reportandsupport.nottingham.ac.uk/,html,data/raw/downloads/71_Report__Support.html,data/processed/text/71_Report__Support.txt,OK,1555,
72,Tackling Racism and Racial Harassment: Directory of Initiatives at UK Universities,Universities UK,Included,Report,Document,https://www.universitiesuk.ac.uk/what-we-do/policy-and-research/publications/tackling-racism-and-racial-harassment,https://www.universitiesuk.ac.uk/what-we-do/policy-and-research/publications/tackling-racism-and-racial-harassment,,,,,FAILED,0,403 Client Error: Forbidden for url: https://www.universitiesuk.ac.uk/what-we-do/policy-and-research/publications/tackling-racism-and-racial-harassment
73,Majority Allies,Royal Academy of Engineering,Included,Toolkit,Webpage,https://raeng.org.uk/policy-and-resources/diversity-and-inclusion-research-and-resources/inclusive-cultures/majority-allies,https://raeng.org.uk/policy-and-resources/diversity-and-inclusion-research-and-resources/inclusive-cultures/majority-allies,https://raeng.org.uk/policy-and-resources/equity-diversity-and-inclusion-research-and-resources/inclusive-cultures/majority-allies/,html,data/raw/downloads/73_Majority_Allies.html,data/processed/text/73_Majority_Allies.txt,OK,3547,
76,Promoting EDI In University Spinout Companies,Oxford Brookes University,Included,Webpage,Webpage,https://www.brookes.ac.uk/Research/Units/OBBS/Projects/Women-and-Spinouts/,https://www.brookes.ac.uk/Research/Units/OBBS/Projects/Women-and-Spinouts/,https://www.brookes.ac.uk/research/units/obbs/projects/women-and-spinouts,html,data/raw/downloads/76_Promoting_EDI_In_University_Spinout_Companies.html,data/processed/text/76_Promoting_EDI_In_University_Spinout_Companies.txt,OK_BUT_SHORT,612,Extracted text length=612 (<800)
79,Inclusive Cultures Toolkit,Royal Academy of Engineering,Included,Toolkit,Webpage,https://raeng.org.uk/policy-and-resources/diversity-and-inclusion-research-and-resources/inclusive-cultures/inclusive-cultures-toolkit,https://raeng.org.uk/policy-and-resources/diversity-and-inclusion-research-and-resources/inclusive-cultures/inclusive-cultures-toolkit,https://raeng.org.uk/policy-and-resources/equity-diversity-and-inclusion-research-and-resources/inclusive-cultures/inclusive-cultures-toolkit/,html,data/raw/downloads/79_Inclusive_Cultures_Toolkit.html,data/processed/text/79_Inclusive_Cultures_Toolkit.txt,OK,25230,
80,Research Fellowships,Royal Academy of Engineering,Included,Webpage,Webpage,"https://www.raeng.org.uk/grants-prizes/grants/support-for-research/raeng-research-fellowship?dm_i=4S2P,JECP,24GQFK,2B8EM,1",https://www.raeng.org.uk/grants-prizes/grants/support-for-research/raeng-research-fellowship?dm_i=4S2P%2CJECP%2C24GQFK%2C2B8EM%2C1,https://www.raeng.org.uk/programmes-and-prizes/programmes/uk-grants-and-prizes/support-for-research/research-fellowships,html,data/raw/downloads/80_Research_Fellowships.html,data/processed/text/80_Research_Fellowships.txt,OK,3463,
81,Research Chairs and Senior Research Fellowship,Royal Academy of Engineering,Included,Webpage,Webpage,https://www.raeng.org.uk/grants-prizes/grants/support-for-research/research-chairs?dm_i,https://www.raeng.org.uk/grants-prizes/grants/support-for-research/research-chairs?dm_i,https://www.raeng.org.uk/programmes-and-prizes/programmes/uk-grants-and-prizes/support-for-research/research-chairs-and-senior-research-fellowships,html,data/raw/downloads/81_Research_Chairs_and_Senior_Research_Fellowship.html,data/processed/text/81_Research_Chairs_and_Senior_Research_Fellowship.txt,OK,5145,
82,Mentoring And Political Education Programme,Fabian Womenís Network,Included,Webpage,Webpage,https://www.fabianwomen.org.uk/mentoring,https://www.fabianwomen.org.uk/mentoring,https://www.fabianwomen.org.uk/mentoring,html,data/raw/downloads/82_Mentoring_And_Political_Education_Programme.html,data/processed/text/82_Mentoring_And_Political_Education_Programme.txt,OK,9062,
83,Future Leaders Fellows Development Network - Mentorship Programme,UKRI,Included,Webpage,Webpage,https://www.flfdevnet.com/mentoring/,https://www.flfdevnet.com/mentoring/,https://www.flfdevnet.com/mentoring/,html,data/raw/downloads/83_Future_Leaders_Fellows_Development_Network_-_Mentorship_Programme.html,data/processed/text/83_Future_Leaders_Fellows_Development_Network_-_Mentorship_Programme.txt,OK,3571,
